GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age,distance_to_litpop_km,litpop_asset_value,litpop_value_50km
P100001063591,Guangdong Shiji Qingshan Nickel Industry Co Ltd,Guangdong Shiji Qingshan Nickel Industry Co Ltd,China,Asia Pacific,21.687053,111.848893,900.0,14.81,7.40872804387696,546325381.749661,17775768414.022697
P100001063532,Guangdong Taidu Iron & Steel Co Ltd,Guangdong Taidu Iron & Steel Co Ltd,China,Asia Pacific,23.504558,112.962693,1020.0,22.0,4.150167108295288,1746497357.0257854,689650406949.0117
P100001063263,"Guangdong Taiye Hongda Steel Co., Ltd.",Guangdong Taiye Hongda Steel Co Ltd,China,Asia Pacific,23.54332928798603,112.99082407443541,920.0,13.79,3.317246297649484,1746497357.0257854,518040246609.26575
P100000120361,GuangDong Xinxing Ductile Iron Pipes Co Ltd,GuangDong Xinxing Ductile Iron Pipes Co Ltd,China,Asia Pacific,22.09914,111.665479,0.0,11.0,5.0653168132875335,126961940.125218,18287514935.09894
P100000121044,Guangdong Yuebei United Steel Co Ltd,Guangdong Yuebei United Steel Co Ltd,China,Asia Pacific,24.262452,113.728198,2055.0,16.0,3.821930712580083,114780320.39245096,8696937071.580666
P100001063322,Guangdong Yuedong Steel Co Ltd,Guangdong Yuedong Steel Co Ltd,China,Asia Pacific,23.711585,114.689761,720.0,32.14,1.9250948699689867,10381673523.067602,27017136890.886192
P100001062853,Guangdong Yuehua Iron & Steel Group Co Ltd,Guangdong Yuehua Iron & Steel Group Co Ltd,China,Asia Pacific,24.275783,113.388896,520.0,21.81,2.259011296840417,386008960.44992363,8810397766.05655
P100001063509,Guangdong Yueshao Iron & Steel Co Ltd,Guangdong Yueshao Iron & Steel Co Ltd,China,Asia Pacific,24.688355,113.657408,500.0,12.48,3.956482062168141,2904267538.2436757,32115161740.937645
P100001063495,Guangdong Zhanhong Steel Plant,Guangdong Zhanhong Steel Plant,China,Asia Pacific,23.037858,114.970593,500.0,23.0,1.3240325291436068,33770610.58382256,54074859666.96669
P100000120084,Guangdong Zhongnan Iron & Steel Co Ltd,SGIS Songshan Co Ltd,China,Asia Pacific,24.708232,113.635898,8698.0,29.0,1.1009167556153143,2904267538.2436757,32095815445.071198
P100000121071,Guangshui Huaxin Metallurgical Industry Co Ltd,Guangshui Huaxin Smelt Industry Co Ltd,China,Asia Pacific,31.50221,114.008142,869.0,18.0,5.4172791181418365,39099648.249599755,7307352272.830032
P100000120093,Guangxi Beigang New Material Co Ltd,Guangxi BG New Materials Co Ltd,China,Asia Pacific,21.519924,109.506427,3400.0,17.0,4.373955933920907,490660026.3866026,31590588682.136852
