GEM plant ID,Plant name (English),Owner,Country/area,Region,Latitude,Longitude,Capacity (ttpa),Plant age
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,China,Asia Pacific,31.763956,115.924372,500.0,4.0
P100000120417,Anhui Jingxian Longxin Iron and Steel Co Ltd,Anhui Jingxian Longxin Iron and Steel Co Ltd,China,Asia Pacific,30.709058,118.436638,500.0,18.0
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd,China,Asia Pacific,31.246635,119.120443,1000.0,24.0
P100001025923,Anhui Lixin Special Steel Co Ltd,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",China,Asia Pacific,31.0494162,119.5296269,500.0,14.24
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,Anhui Shoukuang Dachang Metal Material Co Ltd,China,Asia Pacific,32.329171,115.954963,3000.0,16.0
P100000120748,Ann Joo Integrated Steel Penang plant,Ann Joo Integrated Steel Sdn Bhd,Malaysia,Asia Pacific,5.380391,100.377598,900.0,19.0
P100000120749,Ann Joo Steel Selangor plant,Ann Joo Steel Bhd,Malaysia,Asia Pacific,3.042585,101.537011,820.0,65.0
P100000120231,Anshan Baode Iron and Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd,China,Asia Pacific,41.173613,122.945501,1800.0,26.73
P100000120509,Anshan Iron and Steel Central Sulawesi steel plant,Anshan Iron and Steel Group Co Ltd,Indonesia,Asia Pacific,-4.244263,122.371221,,
P100000120221,Ansteel Group Chaoyang Steel and Iron Co Ltd,Angang Steel Co Ltd,China,Asia Pacific,41.528945,120.369983,2100.0,18.59
P100000120170,Anyang Huixin Special Steel Co Ltd,Anyang Huixin Special Steel Co Ltd,China,Asia Pacific,36.152418,114.15839,,21.0
P100000120160,Anyang Iron and Steel Co Ltd,Anyang Iron & Steel Co Ltd,China,Asia Pacific,36.122129,114.283145,0.0,68.0
P100000120166,Anyang Xinpu Steel Co Ltd,Anyang Xinpu Steel Co Ltd,China,Asia Pacific,36.163203,114.296223,,20.41
P100000120029,Aperam Stainless Belgium Châtelet steel plant,Aperam Stainless Belgium NV,Belgium,Europe,50.414998,4.532443,1000.0,50.0
P100000120028,Aperam Stainless Belgium Genk steel plant,Aperam Stainless Belgium NV,Belgium,Europe,50.933973,5.511494,1200.0,56.0
P100000120053,Aperam Timóteo steel plant,Aperam Inox America do Sul SA,Brazil,Central & South America,-19.531272,-42.639979,900.0,77.0
P100000121217,Arabian Gulf Steel Industries Abu Dhabi plant,Arabian Gulf Steel Industries Selling Port LLC,United Arab Emirates,Middle East,24.283335,54.463384,600.0,18.0
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Acindar Industria Argentina de Aceros SA,Argentina,Central & South America,-33.249936,-60.300415,2000.0,80.0
P100000120459,ArcelorMittal Asturias (Aviles) steel plant,ArcelorMittal España SA,Spain,Europe,43.554741,-5.87259,4200.0,76.0
P100000120452,ArcelorMittal Asturias (Gijón) steel plant,ArcelorMittal España SA,Spain,Europe,43.525092,-5.731926,1200.0,55.0
P100000120050,ArcelorMittal Barra Mansa steel plant,ArcelorMittal Brasil SA,Brazil,Central & South America,-22.525806,-44.191067,800.0,89.0
P100000120532,ArcelorMittal Bellary steel plant,ArcelorMittal SA,India,Asia Pacific,15.139498,76.918417,,
P100000120426,ArcelorMittal Bremen steel plant,ArcelorMittal Bremen GmbH,Germany,Europe,53.133305,8.688193,3960.0,69.0
P100000120997,ArcelorMittal Calvert steel plant,AM/NS Calvert LLC,United States,North America,31.148446,-87.990521,1500.0,1.0
P100000120785,ArcelorMittal Dąbrowa Górnicza steel plant,ArcelorMittal Poland SA,Poland,Europe,50.342417,19.285037,5001.0,50.0
P100000120714,ArcelorMittal Differdange steel plant,ArcelorMittal SA,Luxembourg,Europe,49.527966,5.900398,1350.0,130.0
P100000120058,ArcelorMittal Dofasco steel plant,ArcelorMittal Dofasco GP,Canada,North America,43.269255,-79.804858,1350.0,114.0
P100000120428,ArcelorMittal Duisburg steel plant,ArcelorMittal Duisburg GmbH,Germany,Europe,51.462987,6.744612,,174.0
P100000120472,ArcelorMittal Dunkerque steel plant,ArcelorMittal Atlantique et Lorraine SAS,France,Europe,51.041274,2.292948,6750.0,63.0
