Owner,total_capacity_ttpa,n_plants,n_countries,n_regions,avg_litpop_value_50km,centroid_lat,centroid_lon
Devki Steel Mills Ltd,1000.0,1,1,1,,-3.788806,39.316741
Dexin Steel Pte Ltd,7000.0,1,1,1,,-2.829514,122.174896
Diler Demir Celik Endustri ve Ticaret AŞ,1300.0,1,1,1,,40.783161,29.533568
Dinson Iron & Steel Company Pvt Ltd,600.0,1,1,1,,-18.940658,30.608968
Dnipro Metallurgical Plant PJSC,0.0,1,1,1,,48.48079,34.978097
Dniprospetsstal Plant PJSC,1000.0,1,1,1,,47.8599249,35.1613272
Donalam SRL,0.0,1,1,1,,44.904569,25.458124
Donelektrostal LLC,0.0,1,1,1,,47.740352,40.18942
Dongbei Special Steel Group Dalian Special Steel Co Ltd,2695.0,1,1,1,110293807549.42218,39.193697,122.057788
Dongkuk Steel Mill Co Ltd,3600.0,2,1,1,,36.7439675,128.01810799999998
Dongyuan Dongnan Industrial Co Ltd,720.0,1,1,1,24861513268.424088,24.038397,114.873435
Dragon Steel Corp,6081.0,1,1,1,,24.226897,120.493911
Duferco Travi e Profilati SpA,950.0,1,1,1,,45.478363,10.209234
E-Top Metal Co Ltd,600.0,1,1,1,,24.167872,120.505482
ESF Elbe-Stahlwerke Feralpi GmbH,1400.0,1,1,1,,51.3128,13.280386
ESL Steel Ltd,1500.0,1,1,1,67852373916.12887,23.632907,86.293671
ETRHB Industrie SpA,0.0,1,1,1,,36.834412,7.45494
Eastern Steel Sdn Bhd,2700.0,1,1,1,,4.285062,103.432551
Ecolant LLC,0.0,1,1,1,,55.286989,42.169516
Eden Flame Sdn Bhd,1050.0,1,1,1,,1.451512,103.917306
Ege Celik Endustrisi Sanayi ve Ticaret AŞ,1200.0,1,1,1,,38.728005,26.940095
Egyptian American Steel Rolling Company SAE,1200.0,1,1,1,,30.389174,30.571894
Egyptian Iron & Steel Co,0.0,1,1,1,,29.774458,31.312013
Egyptian Sponge Iron & Steel Company SAE,3000.0,1,1,1,,30.393079,30.58773
Egyptian Steel Group,1660.0,2,1,1,,29.40006,31.764005
Ekinciler Demir ve Celik Sanayi AŞ,1250.0,1,1,1,,36.690115,36.205739
Ekos Steel Mill PLC,0.0,1,1,1,,8.781155,38.932065
Electrasteel Inc,0.0,1,1,1,,40.06301,-105.221982
Electrosteel Castings Ltd,0.0,1,1,1,8040276716.979144,13.717188,79.630588
Empresa Siderurgica del Peru SAA,750.0,1,1,1,,-9.059693,-78.601178
Empresa Siderúrgica del Mutún SA,200.0,1,1,1,,-19.137325,-57.880605
Emsteel Building Materials PJSC,3500.0,1,1,1,,24.322033,54.467987
Eqlid Pars Steel Co,0.0,1,1,1,,30.944867,52.892849
Equest Steel Pty Ltd,0.0,1,1,1,,-27.42083,153.127715
Eregli Demir ve Celik Fabrikalari AŞ,3801.0,1,1,1,,41.261469,31.420106
Esfahan Steel Co,3600.0,1,1,1,,32.418304,51.331314
Essar Global Fund Ltd,0.0,1,1,1,,27.544749,49.208103
Esteel Enterprise Sabah Sdn Bhd,0.0,1,1,1,,6.104211,116.202218
Eurasian Resources Group SARL; China Baowu Steel Group Co Ltd,0.0,1,1,1,,52.9775332,63.1825737
Evonith Metallics Ltd,1080.0,2,1,1,3248185027.352687,20.700508499999998,78.62942050000001
Evraz NTMK JSC,4400.0,1,1,1,,57.922851,60.033543
Evraz ZSMK JSC,7619.0,1,1,1,,53.88618,87.257618
Ezhou Hongtai Steel Co Ltd,0.0,1,1,1,726604271945.3484,30.532352,114.747597
Ezz Steel Co,900.0,1,1,1,,30.382179,30.563029
F&F Steel,600.0,1,1,1,,36.113741,43.979714
Faizan Steel,365.0,1,1,1,,24.897652,66.985678
Fangchenggang Jinxi Steel Technology Co Ltd,0.0,1,1,1,13057103208.650103,21.646525,108.369582
Fangda Special Steel Technology Co Ltd,2800.0,1,1,1,298976871181.5577,28.645441,115.99204
Fasa Steel Complex Co,0.0,1,1,1,,28.977453,53.867836
Feng Hsin Steel Co Ltd,1800.0,1,1,1,,24.31287,120.712774
Fengshun Changsheng Precision Steel Casting Co Ltd,620.0,1,1,1,689650406949.0117,23.507015,112.953822
Fengshun County Agricultural Machinery Continuous Casting Co,720.0,1,1,1,185724025736.5404,23.748318,116.13985
Fengshun County Dongfang Metal Casting Co Ltd,930.0,1,1,1,185724025736.5404,23.749104,116.138262
Fengshun County Hongbao Industrial Co Ltd,720.0,1,1,1,109635194345.66838,23.720136,115.949449
Fengshun Yongshun Continuous Casting Plant,720.0,1,1,1,174623791837.72952,23.747173,116.126241
Feralpi Siderurgica SpA,1216.0,1,1,1,,45.460582,10.456748
Ferriera Valsabbia SpA,1000.0,1,1,1,,45.642905,10.380199
Ferriere Nord SpA,2200.0,1,1,1,,46.232199,13.079104
Fogang Dawei Special Steel Co Ltd,575.0,1,1,1,38091034921.25903,23.893972,113.500829
Formosa Ha Tinh Steel Corp,7500.0,1,1,1,,18.036333,106.428271
"Fugang METAL Manufacturing Co.ltd.,jilinjigang Steel Group",0.0,1,1,1,372832686908.1275,44.022802,125.505627
Fuhai Group New Energy Holding Co Ltd,0.0,1,1,1,,-1.556636,103.679366
Fujian Dingsheng Steel Co Ltd,1726.0,1,1,1,63582759550.28588,27.224477,120.328828
Fujian Dingxin Industry Co Ltd,600.0,1,1,1,13086748509.650484,26.7695,119.738519
Fujian Fuxin Special Steel Co Ltd,720.0,1,1,1,295552753546.09393,24.472439,117.94885
Fujian Great Dong Hai Industrial Group Co Ltd,5128.0,1,1,1,101362036478.68416,25.737777,119.592239
Fujian Hengwang Investment Co Ltd,0.0,2,1,1,,42.91958135,71.67270725
